state_abbr,state_id,PRO-GUN,ANTI-GUN,federal_PRO-GUN,state_PRO-GUN,federal_ANTI-GUN,state_ANTI-GUN,federal_PRO-GUN,state_PRO-GUN,federal_ANTI-GUN,state_ANTI-GUN,,,,,,,,,,,,,
GA,13,1109597,13555,752647,356950,12855,700,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1HQSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1HQSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1HQSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1HQSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,,,,,,,,,,,,,
HI,15,86267,3000,40000,46267,3000,N/A,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1ISSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1ISSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1ISSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,N/A,,,,,,,,,,,,,
ID,16,365257,N/A,301557,63700,N/A,N/A,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1JRCZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1JRCZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,N/A,N/A,,,,,,,,,,,,,
IL,17,764813.23,136149.85,446706,318107.23,95576,40573.85,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1JTCZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1JTCZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1JTCZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1JTCZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,,,,,,,,,,,,,
IN,18,585242.03,9782,500438,84804.03,9782,N/A,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1JTiZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1JTiZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1JTiZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,N/A,,,,,,,,,,,,,
IA,19,440794.93,19897,299336,141458.93,19897,N/A,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1JQSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1JQSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1JQSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,N/A,,,,,,,,,,,,,
KS,20,546843,39961,364493,182350,39961,N/A,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1LUyZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1LUyZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1LUyZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,N/A,,,,,,,,,,,,,
KY,21,438014,24777,395676,42338,24777,N/A,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1LWSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1LWSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1LWSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,N/A,,,,,,,,,,,,,
LA,22,444177.64,1000,395677,48500.64,1000,N/A,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1MQSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1MQSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1MQSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,N/A,,,,,,,,,,,,,
ME,23,186012,35643,137162,48850,27318,8325,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1NRSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1NRSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1NRSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1NRSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,,,,,,,,,,,,,
